SKU,Description,QOH,old_retail,new_retail,unit,img
ZZ004073521001,ITS2.237/14 I JOIST FLANGE,17,7.45,6.47,EA,
ZZ004090943001,FB26 2X6  FENCE BRACKET,21,3.54,3.07,EA,
ZZ004126856005,SIMPSON HHDQ11-SDS2.5,3,206.99,165.12,EA,
ZZ004131890010,SIMPSON HHDQ11-SDS2.5,3,176.99,153.33,EA,
ZZ004131890012,SIMPSON HGUS412,4,64.99,48.64,EA,
ZZ004140181013,SIMPSON WMU5.25X,4,76.99,64.33,EA,
ZZ004148013007,DTT2SS,1,48.37,38.70,EA,
ZZ004157258020,SIMPSON HU310-2,1,37.99,28.59,EA,
ZZ004185466002,EPC6Z,5,39.79,34.45,EA,
ZZ004188539002,APVGP1212 AVANT ARCH GABLE,2,109.65,95.03,EA,
ZZ004233459002,"5/8"" X 12' HDG ALL THREAD",1,24.99,18.55,EA,
ZZ004280063015,"3/4""X10' GALVANIZED ALL THREAD",2,48.99,32.39,EA,
ZZ004299388001,U214 2X14 FC MNT HNGR,6,6.03,5.63,EA,
ZZ004299698002,HDQ8-SDS3HDG 14IN HOLDDOWN,8,108.44,101.21,EA,
ZZ004378088002,HDQ8-SDS3 SIMPSON HOLD DOWN,8,81.49,65.10,EA,
ZZ004435630039,SIMPSON HSUR210-2,2,21.99,20.80,EA,
ZZ004486818001,SIMPSON HDC104SDS2.5,1,76.27,70.63,EA,
ZZ004562066018,SIMPSON SSWAB24X10,1,762.99,711.20,EA,
ZZ004676143001,SIMPSON HU410,35,10.99,10.99,EA,
ZZ004700628001,3 X 3 HEAVY ANGLE HDG,32,18.99,12.51,EA,
ZZ004721278007,1-3/4 X 9-1/2 FACE MOUNT HANGE,4,8.25,7.68,EA,
ZZ004774654001,SIMP 4X6 CAP Q STYLE ROT 90,8,102.99,95.75,EA,
ZZ004775495001,2X STUD SHOE W/SCREWS,6,13.49,11.68,EA,
ZZ004881717003,WT12 WEDGE FORM TIE 12,413,0.79,0.66,EA,
ZZ004288511002,HU11 FACE MOUNT HANGER,6,16.99,14.71,EA,
