SKU,Description,QOH,old_retail,new_retail,unit,img
ZZ004226964001,"7-1/4"" IRISH L.LANDS HRDI SHAK",234',30.99,30.99,EA,
ZZ004046277007,SIMPSON STEEL STRONG WALL 24X8,1,1329.99,1145.08,EA,
ZZ004087112001,VG1424S VULCAN VENT 14X24,1,108.79,94.24,EA,
ZZ004180671001,1X6X16' WINDSOR ONE T&G WP4,1,52.99,46.06,EA,
ZZ004180671018,1X8X16' WINDSOR ONE SHIP LAP,1,68.99,59.53,EA,
ZZ004226355001,6X4/4 ALLURA TRIM CM,3,30.49,26.37,EA,
ZZ004265276001,4/4X11 1/4X12' HARDIE SMOOTH,8,77.99,67.05,EA,
ZZ004342555001,TIMBERTECH 1X6 GREY GRVD,108,6.99,5.87,L/F,
ZZ004360598001,BLACK CORRUGATED ROOFING PANEL,6,21.99,20.63,EA,
ZZ004653980001,"34"" X 64"" OPERABLE SKYLITE",1,512.94,444.55,EA,
ZZ004653980002,"55"" X 55"" FIXED SKYLITE",1,404.05,350.18,EA,
ZZ004786910006,HOG SPRAY/PRIMER,5,19.99,14.5,EA,
