SKU,Description,QOH,old_retail,new_retail,unit,img
ZZ004470417001,2/4 X 6/8 X 1 3/8 F-66 DOOR,1,214.980,186.32,EA,
ZZ004482266002,2/0 X 6/8 X 1 3/8 WHITE LAMI,2,267.000,231.40,EA,
ZZ004490157001,2/4 X 6/8 X 1 3/8 WHITE LAMI,4,284.800,246.82,EA,
ZZ004490157002,2/0 X 6/8 X 1 3/8 WHITE LAMI,2,271.950,235.69,EA,
ZZ004490157003,2/8 X 6/8 X 1 3/8 WHITE LAMI,1,261.660,226.78,EA,
