name,file,img
Lumber,dept2.csv,lumber.jpg
Plywood,dept3.csv,plywood.jpg
Building Materials,dept5.csv,bm.jpg
Doors,dept7.csv,doors.jpg
Hardware,dept11.csv,hardware.jpg
Power Tools,dept17.csv,power.jpg
